Excluded Topic,Chatbot,Metric,Normalized Full Score,Normalized Leave-One-Topic-Out Score,Normalized Absolute Delta
Current Suicidal Ideation,ChatGPT-5.4,ROUGE Lexical Overlap,0.1706,0.154,0.0166
Current Suicidal Ideation,ChatGPT-5.4,METEOR Lexical-Semantic Alignment,0.2202,0.1984,0.0218
Current Suicidal Ideation,ChatGPT-5.4,Negative Sentiment Probability,0.2646,0.2255,0.0391
Current Suicidal Ideation,ChatGPT-5.4,Flesch Reading Ease,0.522,0.477,0.045
Current Suicidal Ideation,ChatGPT-5.4,Non-Hateful Language Probability,0.9995,0.9995,0.0
Current Suicidal Ideation,ChatGPT-5.4,Crisis-Response Reference Similarity,0.7979,0.7979,0.0
Current Suicidal Ideation,ChatGPT-5.4,Risk-Assessment Reference Similarity,0.8133,0.8133,0.0
Current Suicidal Ideation,Claude,ROUGE Lexical Overlap,0.1469,0.1372,0.0097
Current Suicidal Ideation,Claude,METEOR Lexical-Semantic Alignment,0.2021,0.1843,0.0178
Current Suicidal Ideation,Claude,Negative Sentiment Probability,0.2775,0.2257,0.0518
Current Suicidal Ideation,Claude,Flesch Reading Ease,0.4558,0.4175,0.0383
Current Suicidal Ideation,Claude,Non-Hateful Language Probability,0.9995,0.9995,0.0
Current Suicidal Ideation,Claude,Crisis-Response Reference Similarity,0.7783,0.7783,0.0
Current Suicidal Ideation,Claude,Risk-Assessment Reference Similarity,0.7664,0.7664,0.0
Current Suicidal Ideation,DeepSeek,ROUGE Lexical Overlap,0.1815,0.1593,0.0222
Current Suicidal Ideation,DeepSeek,METEOR Lexical-Semantic Alignment,0.2304,0.2041,0.0263
Current Suicidal Ideation,DeepSeek,Negative Sentiment Probability,0.401,0.35,0.051
Current Suicidal Ideation,DeepSeek,Flesch Reading Ease,0.6285,0.582,0.0464
Current Suicidal Ideation,DeepSeek,Non-Hateful Language Probability,0.9995,0.9995,0.0
Current Suicidal Ideation,DeepSeek,Crisis-Response Reference Similarity,0.7944,0.7944,0.0
Current Suicidal Ideation,DeepSeek,Risk-Assessment Reference Similarity,0.773,0.773,0.0
